설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
아이파크시티1단지 101동 앞 건너편 횡단보도(양촌삼거리),대전광역시,유성구, ,대전광역시 유성구 복용동 661 ,127.3282,36.3365,접이식그늘막,아이파크시티1단지 101동 앞 건너편 횡단보도(양촌삼거리),2024,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티2단지 201동 앞 건너편 횡단보도(양촌삼거리),대전광역시,유성구, ,대전광역시 유성구 복용동 661 ,127.3283,36.3361,접이식그늘막,아이파크시티2단지 201동 앞 건너편 횡단보도(양촌삼거리),2024,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
복용초 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 복용동 661 ,127.3282,36.3341,접이식그늘막,복용초 앞 횡단보도,2024,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
구암역 맞은편 횡단보도 앞,대전광역시,유성구,대전광역시 유성구 유성대로 703   (구암동),대전광역시 유성구 구암동 94-5 ,127.3315308,36.3566085,접이식그늘막,구암역 맞은편 횡단보도 앞,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
온천역 5번출구 앞,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 576 ,127.3413519,36.3539498,접이식그늘막,온천역 5번출구 앞,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
생명과학고 맞은편,대전광역시,유성구,대전광역시 유성구 계룡로123번길 52 (봉명동),대전광역시 유성구 구암동 684 ,127.3310722,36.3487618,접이식그늘막,생명과학고 맞은편,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
유성온천 네거리,대전광역시,유성구,전광역시 유성구 온천로 89 (봉명동),대전광역시 유성구 봉명동 574 ,127.3424331,36.3555587,접이식그늘막,유성온천 네거리,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
구암평생학습원 앞,대전광역시,유성구, ,대전광역시 유성구 구암동 684 ,127.3306951,36.3487409,접이식그늘막,구암평생학습원 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
자이상가 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 529 ,127.3368779,36.3551709,접이식그늘막,자이상가 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
아이마켓안경원 앞,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 551-18 ,127.3423037,36.3551464,접이식그늘막,아이마켓안경원 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
KT통신사 앞,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 552-11 ,127.3416965,36.3551776,접이식그늘막,KT통신사 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
유성온천 대온탕 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 봉명동 574 ,127.3418166,36.3557307,접이식그늘막,유성온천 대온탕 앞 횡단보도,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
현충원 역 건너편 신호등,대전광역시,유성구, ,대전광역시 유성구 구암동 424-92 ,127.32037,36.35977,접이식그늘막,현충원 역 건너편 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
연습실스튜디오 지음 앞 횡단보도,대전광역시,유성구,"대전광역시 유성구 문화원로 77   (봉명동, 그랑펠리체)",대전광역시 유성구 봉명동 611-1 ,127.34449,36.35956,접이식그늘막,연습실스튜디오 지음 앞 횡단보도,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
구암동 629-5,대전광역시,유성구, ,대전광역시 유성구 구암동 629-5 ,127.3267499,36.3488074,스마트그늘막,교통섬,2023,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
8번출구,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 551-11 ,127.3422369,36.3538062,스마트그늘막,8번출구,2022,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
대국건설산업,대전광역시,유성구,대전광역시 유성구 계룡로 159   (봉명동),대전광역시 유성구 봉명동 542-10 ,127.3480546,36.3522228,스마트그늘막,횡단보도,2022,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
유성구청 앞 어은교 우측사거리,대전광역시,유성구, ,대전광역시 유성구 어은동 59-12 ,127.3576172,36.3618193,접이식그늘막,유성구청 앞 어은교 우측사거리,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대학교 정문 앞 우축 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 220-9 ,127.3444588,36.3623821,접이식그늘막,충남대학교 정문 앞 우축 교통섬,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대학교 정문 앞 좌측 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 220-9 ,127.3450254,36.3621741,접이식그늘막,충남대학교 정문 앞 좌측 교통섬,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
세븐일레븐 충남대사랑점 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 351 ,127.3443419,36.3619753,접이식그늘막,세븐일레븐 충남대사랑점 앞 교통섬,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대 정문 종로유학원 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 279-10 ,127.3448183,36.3617815,접이식그늘막,충남대 정문 종로유학원 앞 교통섬,2018,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
충남대 정문 좌측 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 279-12 ,127.344956,36.3621454,접이식그늘막,충남대 정문 좌측 교통섬,2018,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
충남대 서문 맞은편 좌측,대전광역시,유성구, ,대전광역시 유성구 죽동 772 ,127.3398586,36.3699336,접이식그늘막,충남대 서문 맞은편 좌측,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대 서문 맞은편 우측,대전광역시,유성구, ,대전광역시 유성구 죽동 773 ,127.33989,36.3701395,접이식그늘막,충남대 서문 맞은편 우측,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
장대네거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 장대동 289 ,127.3356982,36.3604991,접이식그늘막,장대네거리 교통섬,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
장대네거리 새마을금고 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 장대동 338 ,127.3356645,36.3609356,접이식그늘막,장대네거리 새마을금고 앞 교통섬,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
죽동초등학교 후문 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 751 ,127.3363412,36.3706971,접이식그늘막,죽동초등학교 후문 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
죽동 천년나무(아) 후문 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 773 ,127.3364667,36.3709233,접이식그늘막,죽동 천년나무(아) 후문 앞,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
죽동 예미지(아) 정문 앞 건너편,대전광역시,유성구, ,대전광역시 유성구 죽동 750 ,127.3373374,36.3688754,접이식그늘막,죽동 예미지(아) 정문 앞 건너편,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
롯데리아 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 778 ,127.338322,36.3705545,접이식그늘막,롯데리아 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
다솔아파트 앞 인도,대전광역시,유성구, ,대전광역시 유성구 궁동 43-22 ,127.3474951,36.3614815,접이식그늘막,다솔아파트 앞 인도,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
다솔아파트 앞 건너편 인도,대전광역시,유성구, ,대전광역시 유성구 궁동 45-4 ,127.3473762,36.3613062,접이식그늘막,다솔아파트 앞 건너편 인도,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
궁동네거리 학사마을,대전광역시,유성구, ,대전광역시 유성구 장대동 321 ,127.3385109,36.3644997,접이식그늘막,궁동네거리 학사마을,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
궁동네거리 대학마을 앞,대전광역시,유성구, ,대전광역시 유성구 장대동 321 ,127.3379194,36.3646567,접이식그늘막,궁동네거리 대학마을 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
유성구청 정자 앞,대전광역시,유성구, ,대전광역시 유성구 어은동 311 ,127.3574061,36.3620107,접이식그늘막,유성구청 정자 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
군량들어린이공원 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 750 ,127.3345054,36.3696243,접이식그늘막,군량들어린이공원 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
카이스트 정문 앞,대전광역시,유성구, ,대전광역시 유성구 구성동 464 ,127.3636033,36.3654415,접이식그늘막,카이스트 정문 앞,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
궁동 (구) 소비자마트 건너편,대전광역시,유성구, ,대전광역시 유성구 궁동 29-4 ,127.3500506,36.3604774,접이식그늘막,궁동 (구) 소비자마트 건너편,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
죽동초등학교 네거리,대전광역시,유성구, ,대전광역시 유성구 죽동 799 ,127.3348294,36.3711121,접이식그늘막,죽동초등학교 네거리,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
죽동초등학교 네거리,대전광역시,유성구, ,대전광역시 유성구 죽동 799 ,127.3347855,36.3711229,접이식그늘막,죽동초등학교 네거리,2021,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
죽동문화센터 앞 신호등,대전광역시,유성구,대전광역시 유성구 죽동로 322   (죽동),대전광역시 유성구 죽동 693 ,127.33457,36.36999,접이식그늘막,죽동문화센터 앞 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
장대동 하이마트네거기 교통섬,대전광역시,유성구,대전광역시 유성구 유성대로 808   (장대동),대전광역시 유성구 장대동 340-1 ,127.33804,36.36401,접이식그늘막,장대동 하이마트네거기 교통섬,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
구암네거리 삼각지,대전광역시,유성구, ,대전광역시 유성구 장대동 213-2 ,127.3315105,36.3577235,접이식그늘막,구암네거리 삼각지,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
(교통섬),대전광역시,유성구,대전광역시 유성구 유성대로935번길 50   (죽동),대전광역시 유성구 죽동 664 ,127.3380661,36.3792964,접이식그늘막,(교통섬),2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
노은역 2번출구 앞,대전광역시,유성구,대전광역시 유성구 노은로 지하161   (지족동),대전광역시 유성구 지족동 962 ,127.3176605,36.374109,접이식그늘막,노은역 2번출구 앞,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
노은역 3번출구 앞,대전광역시,유성구,대전광역시 유성구 노은로 지하161   (지족동),대전광역시 유성구 지족동 962 ,127.3180882,36.3741096,접이식그늘막,노은역 3번출구 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
노은CGV앞,대전광역시,유성구, ,대전광역시 유성구 지족동 976 ,127.3181376,36.3723597,접이식그늘막,노은CGV앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
노은SK허브주상복합 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 976 ,127.3176093,36.3723536,접이식그늘막,노은SK허브주상복합 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
지족네거리 본죽 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 952 ,127.318168,36.3757898,접이식그늘막,지족네거리 본죽 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
한국한전기술협회대전지회 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 952 ,127.3175695,36.3757884,접이식그늘막,한국한전기술협회대전지회 앞,2021,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
노은CGV 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 976 ,127.3181502,36.3723596,스마트그늘막,노은CGV 앞,2021,3.2,5,대전광역시 유성구,042-611-2499,2024-09-20
월드컵경기장역 7번창구 승강기앞,대전광역시,유성구,대전광역시 유성구 한밭대로 지하155   (노은동),대전광역시 유성구 노은동 565 ,127.31814,36.36516,접이식그늘막,월드컵경기장역 7번창구 승강기앞,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
탄동새마을금고 노은점 앞,대전광역시,유성구,대전광역시 유성구 은구비로 42   (지족동),대전광역시 유성구 지족동 910-1 ,127.319537,36.37573,접이식그늘막,탄동새마을금고 노은점 앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
"노은역 1,2번 사이",대전광역시,유성구,대전광역시 유성구 노은로 지하161   (지족동),대전광역시 유성구 지족동 962 ,127.3178637,36.3745196,스마트그늘막,"노은역 1,2번 사이",2023,3.4,5,대전광역시 유성구,042-611-2499,2024-09-20
하기동 608번지 횡단보도 앞,대전광역시,유성구,대전광역시 유성구 송림로 41   (하기동),대전광역시 유성구 하기동 536-1 ,127.3226259,36.3877234,접이식그늘막,하기동 608번지 횡단보도 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
반석네거리 휴사우나 건물 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 지족동 1005 ,127.318043,36.3869678,접이식그늘막,반석네거리 휴사우나 건물 앞 교통섬,2018,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
열매마을5단지 상가 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 952 ,127.3181978,36.3761404,접이식그늘막,열매마을5단지 상가 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
하기2교 앞(송림마을 1단지),대전광역시,유성구, ,대전광역시 유성구 하기동 575 ,127.318425,36.3874791,접이식그늘막,하기2교 앞(송림마을 1단지),2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
침신대네거리 롯데마트 노은점 앞,대전광역시,유성구, ,대전광역시 유성구 하기동 585 ,127.3212004,36.3853461,접이식그늘막,침신대네거리 롯데마트 노은점 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
지족역 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 933 ,127.3201015,36.3843507,접이식그늘막,지족역 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
반석네거리 송림근린공원 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 지족동 1005 ,127.3204193,36.3849774,접이식그늘막,반석네거리 송림근린공원 앞 교통섬,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
은구비네거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 지족동 941 ,127.3249746,36.3772103,접이식그늘막,은구비네거리 교통섬,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
지족초등학교 정문 앞,대전광역시,유성구, ,대전광역시 유성구 지족동 947 ,127.3181942,36.3808926,접이식그늘막,지족초등학교 정문 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
하기어린이공원 앞,대전광역시,유성구, ,대전광역시 유성구 하기동 577 ,127.3202625,36.3882465,접이식그늘막,하기어린이공원 앞,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
하기네거리 하기 초등학교 앞,대전광역시,유성구, ,대전광역시 유성구 하기동 577 ,127.3216724,36.3878812,접이식그늘막,하기네거리 하기 초등학교 앞,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
반석동 밴츠매장 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 반석동 663 ,127.31278,36.39575,접이식그늘막,반석동 밴츠매장 앞 교통섬,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
"윗터골어린이공원 앞, 송림마을 510동 앞",대전광역시,유성구, ,대전광역시 유성구 하기동 550 ,127.3309898,36.3889332,접이식그늘막,"윗터골어린이공원 앞, 송림마을 510동 앞",2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
송림네거리 송람마을2단지앞,대전광역시,유성구, ,대전광역시 유성구 하기동 603 ,127.331067,36.3910188,접이식그늘막,송림네거리 송람마을2단지앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
304동,대전광역시,유성구,"대전광역시 유성구 노은로 353   (하기동, 송림마을아파트3단지)",대전광역시 유성구 하기동 513 ,127.3238359,36.391268,접이식그늘막,304동,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
반석네거리 스타벅스 커피숍 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 지족동 1005 ,127.3186,36.3872087,접이식그늘막,반석네거리 스타벅스 커피숍 앞 교통섬,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
드림타워 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 지족동 1062-1 ,127.3082824,36.3874084,접이식그늘막,드림타워 앞 교통섬,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
반석초등하교 횡단보도 앞,대전광역시,유성구, ,대전광역시 유성구 반석동 676 ,127.3123003,36.3902487,접이식그늘막,반석초등하교 횡단보도 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
국민은행사거리 kt대리점 앞,대전광역시,유성구,대전광역시 유성구 반석로 23   (반석동),대전광역시 유성구 반석동 639-1 ,127.3119945,36.3913401,접이식그늘막,국민은행사거리 kt대리점 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
